date,open,high,low,close,Volume USD
15/10/2024 13:00,65751.03,67721.92,65751.03,67613.73,6070658.664
15/10/2024 12:00,65370.03,65918,65358.01,65751.03,1574920.902
15/10/2024 11:00,65661.16,65700.06,65273.09,65370.03,1106754.034
15/10/2024 10:00,65605.55,65721,65541.99,65661.16,939496.3569
15/10/2024 9:00,65707.93,65740.72,65578.01,65605.55,536773.9046
15/10/2024 8:00,65628.34,65812.68,65576.93,65707.93,1016614.302
15/10/2024 7:00,65556.14,65797.3,65525.91,65628.34,622887.0082
15/10/2024 6:00,65319.27,65556.14,65243.21,65556.14,626654.8068
15/10/2024 5:00,65551.31,65572.59,65184.69,65319.27,366618.0376
15/10/2024 4:00,65339.7,65644.13,65293.76,65551.31,168105.9019
15/10/2024 3:00,65725,65725.01,65293.76,65339.7,686589.0625
15/10/2024 2:00,65838.83,65901.16,65688.46,65725,472233.7346
15/10/2024 1:00,65914.21,65978.7,65732.22,65838.83,452958.8293
15/10/2024 0:00,66049.28,66280.97,65849.03,65914.21,340019.6697
14/10/2024 23:00,66224.62,66444.22,66024.8,66049.28,392427.2827
14/10/2024 22:00,65766.49,66409.12,65766.49,66224.62,2756891.559
14/10/2024 21:00,65868.54,65980,65713.21,65766.49,311380.9732
14/10/2024 20:00,65825.53,65980,65768.46,65868.54,1682035.791
14/10/2024 19:00,65737.87,65980,65630.8,65825.53,4554585.366
14/10/2024 18:00,65624.05,65891.58,65562.47,65737.87,1921427.693
14/10/2024 17:00,65640.23,65817.78,65487.62,65624.05,2506201.653
14/10/2024 16:00,65843.65,65951.83,65575.27,65640.23,3422791.955
14/10/2024 15:00,65887.6,66090.66,65772.07,65843.65,3784352.222
14/10/2024 14:00,65113.44,66190.72,65113.43,65887.6,4880663.555
14/10/2024 13:00,64847.36,65212.3,64626.52,65113.44,2328824.261
14/10/2024 12:00,64890,64950.34,64735.55,64847.36,1367172.931
14/10/2024 11:00,64829.16,65006.57,64781.98,64890,1493594.047
14/10/2024 10:00,64777.81,64944.83,64677.91,64829.16,310207.2084
14/10/2024 9:00,64378.54,64821.95,64314.27,64777.81,803056.3114
14/10/2024 8:00,64563.65,64795,64337.26,64378.54,812578.4234
14/10/2024 7:00,64042.8,64620,63983.53,64563.65,2204274.09
14/10/2024 6:00,63928.9,64193.58,63755.02,64042.8,819040.8331
14/10/2024 5:00,64085.23,64125.18,63756.77,63928.9,716329.5998
14/10/2024 4:00,64257.95,64467.77,64074.76,64085.23,1335777.523
14/10/2024 3:00,62565.86,64327.28,62565.86,64257.95,2833930.835
14/10/2024 2:00,62584.52,62613.88,62465.01,62565.86,83985.39729
14/10/2024 1:00,62494.12,62800.78,62494.12,62584.52,603968.9031
14/10/2024 0:00,62840.51,62866.96,62442.24,62494.12,653616.7638
13/10/2024 23:00,62783.9,62882.13,62601.8,62840.51,319289.7457
13/10/2024 22:00,62867.76,63109.02,62724.42,62783.9,814433.6059
13/10/2024 21:00,62646.06,62991.54,62646.06,62867.76,640739.3827
13/10/2024 20:00,62714.74,62714.74,62585.56,62646.06,182233.6241
13/10/2024 19:00,62400.83,62714.74,62400.83,62714.74,414680.3819
13/10/2024 18:00,62492.95,62595.73,62312.07,62400.83,415139.8918
13/10/2024 17:00,62597.94,62849.34,62407.17,62492.95,435099.6965
13/10/2024 16:00,62225.95,62698.22,62135.62,62597.94,708285.1534
13/10/2024 15:00,62216.1,62321.98,62036.88,62225.95,842242.4612
13/10/2024 14:00,62634.78,62634.78,62181.5,62216.1,667621.1427
13/10/2024 13:00,62660.22,62804.9,62602.67,62634.78,107387.5602
13/10/2024 12:00,62556.84,62696.9,62536.99,62660.22,26032.67276
13/10/2024 11:00,62700,62765.29,62533,62556.84,374568.61
13/10/2024 10:00,62817.62,62817.62,62700,62700,204283.8425
13/10/2024 9:00,62793.58,62820.54,62747.15,62817.62,24095.25666
13/10/2024 8:00,62806.09,62941.85,62793.58,62793.58,31052.34147
13/10/2024 7:00,62884.45,62884.45,62736.77,62806.09,73261.19747
13/10/2024 6:00,62841.87,62956.57,62841.87,62884.45,6018.451243
13/10/2024 5:00,62801.64,62945.89,62801.64,62841.87,76700.52459
13/10/2024 4:00,62668,62827.91,62668,62801.64,63565.98871
13/10/2024 3:00,62851.56,62871.94,62658.03,62668,200367.044
13/10/2024 2:00,62872.08,62872.08,62719.18,62851.56,31263.49099
13/10/2024 1:00,63174.05,63174.05,62811.48,62872.08,301441.1476
13/10/2024 0:00,63188.36,63265.15,63083.22,63174.05,93832.97366
12/10/2024 23:00,63269,63350.77,63157.94,63188.36,313157.6141
12/10/2024 22:00,63200,63299.99,63132.08,63269,973508.4919
12/10/2024 21:00,63020.18,63200,63020.18,63200,441412.9228
12/10/2024 20:00,62992.05,63101.12,62984.09,63020.18,348727.5675
12/10/2024 19:00,62931.52,63051.18,62908.03,62992.05,375850.6547
12/10/2024 18:00,63073,63169.61,62931.52,62931.52,666999.6829
12/10/2024 17:00,63061.19,63253.47,63050.31,63073,263545.9394
